Bank Fees,Fees
Catering/Events/Facilities,Events
Computer Software,Technology
Credit Card Membership Fee,Fees
Credit Card Payment (Itemized Below),Fees
Credit Card Processing Fees,Fees
Cyber Security Services,Technology
Database Services,Technology
Digital Advertising,Marketing
Digital Consulting,Marketing
Donation,Other
Emergency Medical Services,Other
Event Consulting,Consulting
Event Facility,Events
Event Fees,Events
Event Production,Events
Event Supplies,Events
Expense Reimbursement,Other
Expense Reimbursement (Itemized Below),Reimbursement
Fundraising Consulting,Consulting
Information Technology & Internet Services,Technology
Insurance,Other
Interpreting Services,Accessibility
Meals,Administrative
Mobile Messaging Platform,Technology
Office Supplies,Administrative
Parking Services,Transportation
Payroll Processing Fees,Payroll
Payroll Taxes,Payroll
Per Diem,Administrative
Photography Services,Marketing
Printing,Administrative
Printing & Shipping,Administrative
Refund,Contribution Refund
Reimbursement of Pre-candidacy Expenditures per 110.2(k) - Survey Research,Marketing
Rent,Administrative
Salary,Payroll
Shipping,Administrative
Storage,Administrative
Strategic Consulting,Consulting
Text Message Platform,Technology
Texting Services,Technology
Translation Services,Accessibility
Travel,Transportation
Video Production,Marketing
Website Services,Technology
Buttons/Bumperstickers/Signs/Ts,Marketing
Catering,Events
Communications Consulting,Consulting
Consulting/ PoliticalStrategy,Consulting
Consulting/Political Strategy,Consulting
Contribution Refund,Contribution Refund
Credit Card-See Details,Fees
Direct Mail,Administrative
Equipment Rental,Administrative
Event Permit,Events
Event Planning Fees,Events
Event Security,Events
Event Site Rental,Events
Event/Sound/Staging,Events
Graphic Design Consulting,Marketing
Interpreter Services,Accessibility
Licensing Fee,Fees
Lodging,Transportation
Merchant Fees,Fees
Office Equipment,Administrative
Payroll Fees,Payroll
Payroll Tax Overpayment,Payroll
Payroll-See Details,Payroll
Photography,Marketing
Phtograpy Supplies,Marketing
Postage,Administrative
Postage Fee,Administrative
"Postage, Mailing Service",Administrative
Reimbursement - See Details,Other
Reimbursement-See Details,Other
Reimbursment - See Details,Other
Software,Technology
Supplies,Administrative
Telephone/Internet,Administrative
Transportation,Transportation
Travel Reimbursement,Transportation
Travel Reimbursement-See Details,Transportation
Utilities,Administrative
Videography,Marketing
Videography Fees,Marketing
Worker's Compensation,Payroll
Accounting Services,Administrative
"Catering, Food & Beverages",Events
Computer Equipment,Technology
Credit Card Payment,Other
Design Services,Marketing
Design/Marketing,Marketing
Digital Design & Development,Marketing
Facilities Rental,Administrative
Facility Rental,Administrative
Legal Services,Administrative
Media Subscription,Administrative
Membership Fee,Fees
Online Advertising,Marketing
Payroll,Payroll
Phone Services,Administrative
Registration Fees,Fees
Security Services,Technology
Security Systems,Technology
Service Fee,Fees
"Site Rental & Catering, Food & Beverages",Events
Technology Services,Technology
Transportation/Security Services,Transportation
Travel,Transportation
Advance Services,Other
Audio Equipment,Marketing
Audio Visual Services,Marketing
Communications Services,Consulting
Compliance Services,Administrative
Entertainment,Events
Event Production Services,Events
Payroll - See Below if Itemized,Payroll
Permit Fee,Fees
Photography Services and Travel,Marketing
Rental Fee,Administrative
Telephone Services,Administrative
Travel Reimbursement - See Below if Itemized,Transportation
Water,Administrative
Auto Insurance,Other
Books,Administrative
Campaign Consulting,Consulting
Consultation Services,Consulting
Contribution,Other
Credit Card - See Below if Itemized,Other
Credit Card Payment - See Below if Itemized,Other
Credit Card Processing Fee,Fees
Design and Production,Marketing
Digital Media Equipment,Technology
Digital Media Services,Technology
Early Pay Discount,Payroll
Event Staff,Events
Event Tickets,Events
Facilities & Event Expenses,Events
Facilities & Rental Expenses,Events
Flowers,Events
Fundraising Consulting Services,Consulting
Fundraising Consulting Services - Travel Expenses,Consulting
Health Insurance,Other
Internet Advertising,Marketing
Internet Consulting Services,Marketing
License Fee,Fees
License Fees,Fees
List Acquisition,Marketing
List Rental,Other
Mailing Permit,Administrative
Meals Credit,Administrative
Meals Reimbursement - See Below if Itemized,Administrative
Media Consulting,Consulting
Media Monitoring,Marketing
Media Production,Marketing
Merchant Service Fee,Fees
Office Expenses,Administrative
Office Expenses Credit,Administrative
Office Expenses Reimbursement - See Below if Itemized,Administrative
Order Fulfillment Services,Administrative
Parade Sponsorship Fee,Fees
Parking Permit,Transportation
Payroll Fee,Payroll
Payroll Services,Payroll
Postage Reimbursement - See Below if Itemized,Administrative
Print Advertising,Marketing
Professional Services - Accounting & Compliance,Consulting
Radio Advertising,Marketing
Reception - Catering,Events
Refund of Contribution,Contribution Refund
Registration Fee,Fees
Reimbursement - See Below if Itemized,Other
Research,Other
Research Consulting,Consulting
Research Reimbursement - See Below if Itemized,Other
Researching & Shipping Reimbursement - See Below if Itemized,Administrative
Storage Fee,Fees
Subscription,Administrative
Telephone,Administrative
Text Messaging Services,Technology
Transcription Services,Accessibility
Travel & Office Supplies Reimbursement - See Below if Itemized,Administrative
Travel Credit,Transportation
Unlimited Transfer to State Party Committee,Other
Advance on Travel Costs,Transportation
Catering & Supplies Reimbursement - Below if Itemized,Events
Compliance Consulting,Administrative
Credit Card Payment - Below if Itemized,Other
Credit Card Processing,Fees
Design Consulting,Marketing
Direct Mail Services,Administrative
Event Entertainment,Events
Event Equipment,Events
Event Space Rental,Events
Field Consulting,Consulting
Media Monitoring Services,Marketing
Mileage Reimbursement,Transportation
"Mileage, Catering & Rental Reimbursement - Below if Itemized",Transportation
Office Supplies Reimbursement - Below if Itemized,Administrative
PO Box Reimbursement - Below if Itemized,Administrative
PO Box Rental,Administrative
Political Consutling,Administrative
Postage & Mileage Reimbursement - Below if Itemized,Consulting
Production Services,Marketing
Security,Administrative
Software Subscription,Technology
Storage & Moving,Administrative
Travel & Equipment Reimbursement - Below if Itemized,Transportation
Travel & Event Supplies Reimbursement - Below if Itemized,Events
Travel & Mileage Reimbursement - Below if Itemized,Transportation
Travel & Office Supplies Reimbursement - Below if Itemized,Administrative
Travel & Supplies Reimbursement - Below if Itemized,Administrative
Travel Reimbursement - Below if Itemized,Transportation
"Travel, Printing & Equipment Reimbursement - Below if Itemized",Transportation
"Travel, Supplies, Shipping & Mileage Reimbursement - Below if Itemized",Transportation
Vehicle Lease,Transportation
Video Production Services,Marketing
Web Hosting,Technology
